Origin State,Type,Dest State,Year,Measure Names,Measure Values
Alaska,Domestic,South Carolina,2022,Current Value (millions of dollars),7.080078
Alaska,Domestic,Rhode Island,2022,Current Value (millions of dollars),0.45848
Alaska,Domestic,Pennsylvania,2022,Current Value (millions of dollars),22.523288
Alaska,Domestic,Oregon,2022,Current Value (millions of dollars),55.369462
Alaska,Domestic,Oklahoma,2022,Current Value (millions of dollars),14.592692
Alaska,Domestic,Ohio,2022,Current Value (millions of dollars),20.749055
Alaska,Domestic,North Dakota,2022,Current Value (millions of dollars),1.60926
Alaska,Domestic,North Carolina,2022,Current Value (millions of dollars),25.515154
Alaska,Domestic,New York,2022,Current Value (millions of dollars),388.50346
Alaska,Domestic,New Mexico,2022,Current Value (millions of dollars),12.779472
Alaska,Domestic,New Jersey,2022,Current Value (millions of dollars),16.640546
Alaska,Domestic,New Hampshire,2022,Current Value (millions of dollars),7.633274
Alaska,Domestic,Nevada,2022,Current Value (millions of dollars),23.794933
Alaska,Domestic,Nebraska,2022,Current Value (millions of dollars),3.164619
Alaska,Domestic,Montana,2022,Current Value (millions of dollars),12.181513
Alaska,Domestic,Missouri,2022,Current Value (millions of dollars),15.166398
Alaska,Domestic,Mississippi,2022,Current Value (millions of dollars),1.403287
Alaska,Domestic,Minnesota,2022,Current Value (millions of dollars),16.470808
Alaska,Domestic,Michigan,2022,Current Value (millions of dollars),22.020563
Alaska,Domestic,Massachusetts,2022,Current Value (millions of dollars),32.960946
Alaska,Domestic,Maryland,2022,Current Value (millions of dollars),14.697612
Alaska,Domestic,Maine,2022,Current Value (millions of dollars),2.954256
Alaska,Domestic,Louisiana,2022,Current Value (millions of dollars),18.37473
Alaska,Domestic,Kentucky,2022,Current Value (millions of dollars),9.183574
Alaska,Domestic,Kansas,2022,Current Value (millions of dollars),10.224525
Alaska,Domestic,Iowa,2022,Current Value (millions of dollars),10.538233
Alaska,Domestic,Indiana,2022,Current Value (millions of dollars),7.004181
Alaska,Domestic,Illinois,2022,Current Value (millions of dollars),53.218716
Alaska,Domestic,Idaho,2022,Current Value (millions of dollars),18.209066
Alaska,Domestic,Hawaii,2022,Current Value (millions of dollars),342.309952
Alaska,Domestic,Georgia,2022,Current Value (millions of dollars),61.058773
Alaska,Domestic,Florida,2022,Current Value (millions of dollars),52.649636
Alaska,Domestic,District of Columbia,2022,Current Value (millions of dollars),3.747801
Alaska,Domestic,Delaware,2022,Current Value (millions of dollars),4.116941
Alaska,Domestic,Connecticut,2022,Current Value (millions of dollars),6.663438
Alaska,Domestic,Colorado,2022,Current Value (millions of dollars),27.886597
Alaska,Domestic,California,2022,Current Value (millions of dollars),9744.351107
Alaska,Domestic,Arkansas,2022,Current Value (millions of dollars),42.131009
Alaska,Domestic,Arizona,2022,Current Value (millions of dollars),32.84069
Alaska,Domestic,Alaska,2022,Current Value (millions of dollars),23368.685922
Alaska,Domestic,Alabama,2022,Current Value (millions of dollars),13.12686
